Source	Character	Field	OldValue	NewValue
h	憎	primitives	心曽	忄曽
h	恨	primitives	心艮	忄艮
h	惨	primitives	心参	忄参
h	惜	primitives	心昔	忄昔
h	慌	primitives	心荒	忄荒
h	憧	primitives	心童	忄童
h	愉	primitives	心[butchers]	忄俞
h	怯	primitives	心去	忄去
h	怜	primitives	心令	忄令
h	恒	primitives	心亘	忄亘
h	悼	primitives	心卓	忄卓
h	悦	primitives	心兑	忄兑
h	憤	primitives	心卉貝	忄卉貝
h	懺	primitives	心从戈韭	忄从戈韭
h	惰	primitives	心左月	忄左月
h	惧	primitives	心具	忄具
h	憾	primitives	心感	忄感
h	惟	primitives	心隹	忄隹
h	恰	primitives	心合	忄合
h	慄	primitives	心栗	忄栗
h	悌	primitives	心弟	忄弟
h	惇	primitives	心享	忄享
h	悛	primitives	心夋	忄夋
h	憬	primitives	心景	忄景
h	恢	primitives	心灰	忄灰
h	慳	primitives	心堅	忄堅
h	惵	primitives	心枼	忄枼
cs	懺	primitives	心韱	忄韱
cs	慨	primitives	心既	忄既

######## 心 -> ⺗ #######

######## 母 -> 毋 #######
h	毎	primitives	𠂉母	𠂉毋
h	毒	primitives	龶母	龶毋

######## 母 -> [mama-top] #######
h	貫	primitives	母貝	[mama-top]貝

######## 小 -> ⺌ #######
h	当	primitives	小ヨ	⺌ヨ
h	光	primitives	小儿	⺌儿
h	鎖	primitives	金小貝	金⺌貝
h	尚	primitives	小冂口	⺌冂口
h	肖	primitives	小月	⺌月
cs	尚	primitives	小冋	⺌冋

######## 木 -> ホ #######

######## 足 -> ⻊ #######

######## 水 -> 氵 #######
h	瀧	primitives	水龍	氵龍
h	落	primitives	艹水各	艹氵各
h	満	primitives	水艹両	氵艹両
h	況	primitives	水兄	氵兄
h	派	primitives	水⺁[rags]	氵⺁[rags]
cs	派	primitives	水𠂢	氵𠂢
h	減	primitives	水戌口	氵戌口
cs	減	primitives	水咸	氵咸
h	汚	primitives	水一丂	氵一丂
h	混	primitives	水昆	氵昆
h	瀬	primitives	水束頁	氵束頁
cs	瀬	primitives	水頼	氵頼
h	薄	primitives	艹水尃	艹氵尃
h	添	primitives	水夭⺗	氵夭⺗
cs	添	primitives	水忝	氵忝
cs	湖	primitives	水胡	氵胡
h	濯	primitives	水羽隹	氵羽隹
cs	濯	primitives	水[futon]	氵[futon]
h	浪	primitives	水良	氵良
h	浸	primitives	水ヨ冖又	氵ヨ冖又
cs	浸	primitives	水[french_maid]	氵[french_maid]
h	漠	primitives	水莫	氵莫
h	藻	primitives	艹水品木	艹氵品木
h	藩	primitives	艹水番	艹氵番
h	滉	primitives	水日光	氵日光
cs	滉	primitives	水晃	氵晃
h	滲	primitives	水厶厶厶㐱	氵厶厶厶㐱
cs	滲	primitives	水參	氵參
h	湍	primitives	水山而	氵山而
cs	湍	primitives	水耑	氵耑
h	漱	primitives	水束欠	氵束欠
cs	漱	primitives	水欶	氵欶
h	涌	primitives	水マ用	氵マ用
cs	涌	primitives	水甬	氵甬
h	渤	primitives	水勃	氵勃
h	潾	primitives	水粦	氵粦
h	寖	primitives	宀水[french_maid]	宀氵[french_maid]
h	慂	primitives	水マ用心	氵マ用心
cs	慂	primitives	水甬心	氵甬心
cs	滌	primitives	水攸木	氵攸木
h	決	primitives	水夬	氵夬
h	法	primitives	水去	氵去
h	海	primitives	水毎	氵毎
h	消	primitives	水肖	氵肖
h	流	primitives	水𠫓川	氵𠫓川
h	活	primitives	水舌	氵舌
h	治	primitives	水台	氵台
h	準	primitives	水隹十	氵隹十
h	渡	primitives	水度	氵度
h	泣	primitives	水立	氵立
h	演	primitives	水寅	氵寅
h	深	primitives	水㓁木	氵㓁木
h	済	primitives	水斉	氵斉
h	注	primitives	水主	氵主
h	酒	primitives	水酉	氵酉
h	激	primitives	水白方攵	氵白方攵
h	洗	primitives	水先	氵先
h	波	primitives	水皮	氵皮
h	滅	primitives	水戌火	氵戌火
h	浮	primitives	水孚	氵孚
h	温	primitives	水日皿	氵日皿
h	沢	primitives	水尺	氵尺
h	江	primitives	水工	氵工
h	沙	primitives	水少	氵少
h	染	primitives	水九木	氵九木
h	河	primitives	水可	氵可
h	泊	primitives	水白	氵白
h	津	primitives	水聿	氵聿
h	清	primitives	水青	氵青
h	源	primitives	水原	氵原
h	洋	primitives	水羊	氵羊
h	油	primitives	水由	氵由
h	浜	primitives	水兵	氵兵
h	測	primitives	水則	氵則
h	潰	primitives	水貴	氵貴
h	潜	primitives	水替	氵替
h	塗	primitives	水余土	氵余土
h	泥	primitives	水尼	氵尼
h	渉	primitives	水歩	氵歩
h	液	primitives	水夜	氵夜
h	涙	primitives	水戻	氵戻
h	沈	primitives	水冘	氵冘
h	浴	primitives	水谷	氵谷
h	泳	primitives	水永	氵永
h	池	primitives	水也	氵也
h	滑	primitives	水骨	氵骨
h	漏	primitives	水尸雨	氵尸雨
h	湯	primitives	水昜	氵昜
h	溶	primitives	水容	氵容
h	浦	primitives	水甫	氵甫
h	洞	primitives	水同	氵同
h	汗	primitives	水干	氵干
h	潮	primitives	水朝	氵朝
h	浅	primitives	水㦮	氵㦮
h	潔	primitives	水龶刀糸	氵龶刀糸
h	滞	primitives	水帯	氵帯
h	濃	primitives	水農	氵農
h	漫	primitives	水曼	氵曼
h	沖	primitives	水中	氵中
h	漢	primitives	水𦰩	氵𦰩
h	没	primitives	水殳	氵殳
h	滝	primitives	水竜	氵竜
h	沼	primitives	水召	氵召
h	涼	primitives	水京	氵京
h	浄	primitives	水争	氵争
h	汁	primitives	水十	氵十
h	漁	primitives	水魚	氵魚
h	渋	primitives	水止[sparkler]	氵止[sparkler]
h	湾	primitives	水亦弓	氵亦弓
h	滴	primitives	水啇	氵啇
h	泡	primitives	水包	氵包
h	汽	primitives	水气	氵气
h	漬	primitives	水責	氵責
h	沿	primitives	水㕣	氵㕣
h	溺	primitives	水弱	氵弱
h	淳	primitives	水享	氵享
h	簿	primitives	竹水尃	竹氵尃
h	渚	primitives	水者	氵者
h	濡	primitives	水需	氵需
h	漂	primitives	水票	氵票
h	湧	primitives	水勇	氵勇
h	汰	primitives	水太	氵太
h	涯	primitives	水厂圭	氵厂圭
h	羨	primitives	羊水欠	羊氵欠
h	渇	primitives	水[siesta]	氵[siesta]
h	浩	primitives	水告	氵告
h	澄	primitives	水登	氵登
h	沸	primitives	水弗	氵弗
h	溝	primitives	水冓	氵冓
h	澪	primitives	水零	氵零
h	淡	primitives	水炎	氵炎
h	潤	primitives	水門王	氵門王
h	渦	primitives	水咼	氵咼
h	窪	primitives	穴水圭	穴氵圭
h	汝	primitives	水女	氵女
h	淑	primitives	水叔	氵叔
h	渓	primitives	水爪夫	氵爪夫
h	洪	primitives	水共	氵共
h	淵	primitives	水片	氵片
h	濁	primitives	水罒勹虫	氵罒勹虫
h	淫	primitives	水爪壬	氵爪壬
h	溢	primitives	水益	氵益
h	溜	primitives	水留	氵留
h	梁	primitives	水丶刀丶木	氵丶刀丶木
h	泌	primitives	水必	氵必
h	瀕	primitives	水頻	氵頻
h	沌	primitives	水屯	氵屯
h	漕	primitives	水曹	氵曹
h	滋	primitives	水茲	氵茲
h	濱	primitives	賓水	賓氵
h	汐	primitives	水夕	氵夕
h	涜	primitives	水売	氵売
h	湊	primitives	水奏	氵奏
h	沃	primitives	水夭	氵夭
