Source	Character	Field	OldValue	NewValue
rrtk	占	keywords		fortune-telling
rrtk	占	story		<strong>Fortune-telling</strong>: using a <i>mouth</i> (口) as a <em>magic wand</em> (卜).
rrtk	上	keywords		above
rrtk	上	story		The <em>magic wand</em> (卜) is<strong> above</strong> the <em>floor </em>(一).
rrtk	下	keywords		below
rrtk	下	story		A <em>magic wand</em> (卜) hanging<strong> below</strong> the <i>ceiling</i> (一).
rrtk	卓	keywords		eminent
rrtk	卓	story		The most<strong> eminent</strong> magician is he who learned to use his <em>magic wand</em> (卜)<em> early</em> (早) in life.<br><br>eminent: famous and respected within a particular sphere or profession.
rrtk	朝	keywords		morning
rrtk	朝	story		<strong>Morning</strong> has come <i>ten</i> (十) hours <i>early</i> (早)! The <i>moon</i> (月) is still in the sky!
rrtk	只	keywords		only
rrtk	只	story		<strong>Only</strong> your <i>mouth</i> (口) runs faster than your <i>legs</i> (ハ)
rrtk	貝	keywords		shellfish
rrtk	貝	story		Remove the <em>eyes</em> (目) and the <em>legs</em> (ハ) and a<strong> shellfish</strong> tastes great!
rrtk	貞	keywords		upright
rrtk	貞	story		A <em>magic wand</em> (上) is needed to make a <em>clam</em> (貝) stand<strong> upright</strong>.<br>
rrtk	員	keywords		employee
rrtk	員	story		An<strong> employee</strong> is a worker. They lend their <em>mouth</em> (口) to sell products; <em>eyes</em> (目) to watch competitors &amp; find customers; and work <em>eight</em> (八) hours a day.
rrtk	見	keywords		see
rrtk	見	story		<i>Eyes</i> (目) and <i>human legs</i> (儿) are all you need to<strong> see</strong> the world.
rrtk	児	keywords		newborn babe
rrtk	児	story		In the <em>olden times</em> (旧), a<strong> newborn babe</strong> came out <em>leg</em>s (儿) first.
rrtk	元	keywords		beginning
rrtk	元	story		In the<strong> beginning</strong> there were just <em>two</em> (二) who walked on <em>human legs</em> (兀).
rrtk	頁	keywords		page
rrtk	頁	story		<em>One </em>(一) <em>drop</em> (丶) of ink from a <em>shellfish</em> (貝) can fill a whole<strong> page</strong>.
rrtk	頑	keywords		stubborn
rrtk	頑	story		He's so<strong> stubborn</strong>, he won't read past the <i>beginning</i> (元) <i>page</i> (頁)!
rrtk	凡	keywords		mediocre
rrtk	凡	story		A<strong> mediocre</strong> <i>table</i><em> </em>(几) is one that has barely a <i>drop</i> (丶) of varnish.
rrtk	負	keywords		defeat
rrtk	負	story		After being <i>wrapped up</i> (⺈), the <em>shellfish</em> (貝) had to accept<strong> defeat</strong>!
rrtk	万	keywords		ten thousand
rrtk	万	story		I <em>bound</em><b> </b>(勹)<b> ten thousand</b> dollars together and hid it under the <em>floor</em> (一).
rrtk	句	keywords		phrase
rrtk	句	story		A <i>bound up</i> (勹) <i>mouth</i> (口) cannot utter a single<strong> phrase</strong>.
rrtk	肌	keywords		skin
rrtk	肌	conflicting_keywords		h:skin
rrtk	肌	story		The <b>skin</b> is the part of your <em>flesh</em> (月) which is first to feel the cool touch of the <em>wind</em> (几).<br>
rrtk	旬	keywords		10-day period
rrtk	旬	story		Japan <i>wraps up</i> (勹) the <i>days</i> (日) of the month into three <b>10-day periods</b> (しゅん). The first is 上旬 (じょうじゅん); the second is 中旬 (ちゅうじゅん); the last is 下旬 (げじゅん).
rrtk	勺	keywords		ladle
rrtk	勺	story		A<strong> ladle</strong> <i>binds</i> (勹) <i>drops</i> (丶) together.
rrtk	的	keywords		target
rrtk	的	story		A <em>white </em>(白), <em>bound up </em>(勹), <em>drop</em> (丶) in the center is the <b>target</b>.
rrtk	首	keywords		neck
rrtk	首	story		The V shape is your <strong>neck</strong> on top of your collar bone, or the straight line. <em>Yourself</em> (自), or the rest of your body is below that!
rrtk	乙	keywords		second
rrtk	乙	conflicting_keywords		h:second
rrtk	乙	story		It is <b>weird</b> that this character means <b>second</b> and resembles an inverted 2.
rrtk	乱	keywords		riot
rrtk	乱	story		The<strong> riot</strong> police broke up the<strong> riot</strong> by dragging the<strong> riot</strong>ers away by their <em>tongues</em> (舌) with <em>fishooks </em>(乚).
rrtk	直	keywords		straightaway
rrtk	直	story		If you get a <i>needle</i> (十) in your <i>eye</i> (目) that is <i>hooked</i> (乚) in there, get to a hospital <strong>straightaway</strong>.
rrtk	具	keywords		tool
rrtk	具	story		Keep an <i>eye</i> (目) on your<strong> tool</strong>s while you work at the <i>table </i>(一ハ).
rrtk	真	keywords		true
rrtk	真	story		<em>Ten</em> (十) <em>tools</em> (具) are all a<strong> true</strong> craftsman needs.
rrtk	工	keywords		craft
rrtk	工	story		The pictograph of an I beam, like the kind used in heavy construction work on buildings and bridges, gives us the character for <b>craft</b> in general.
rrtk	左	keywords		left
rrtk	左	story		The<strong> left</strong> <em>side</em> (丆) of my brain, is for <em>crafts </em>(工).
rrtk	右	keywords		right
rrtk	右	story		The<strong> right</strong> <em>side</em> (丆) of my brain is for my <i>mouth</i> (口) to speak.
rrtk	有	keywords		possess
rrtk	有	story		To<strong> possess</strong> = have or own something. In the fight for survival in prehistoric times, the most important thing to<strong> possess</strong> was <i>flesh</i> (月) by your <i>side</i> (丆) which could be eaten at any time. Imagine a caveman after a hunt having  <i>flesh</i> (月) by his <i>side</i> (丆).This is ある, as in "there is/are" of things, events, concepts, etc.
rrtk	賄	keywords		bribe
rrtk	賄	story		If you <i>possess</i> (有) enough <i>shells</i> (貝), you can<strong> bribe</strong> anyone.
rrtk	貢	keywords		tribute
rrtk	貢	story		<strong>Tribute</strong> is another form of taxation - a <em>craft</em>y (工) way of collecting "<em>clams</em>" (貝) (money).
rrtk	項	keywords		paragraph
rrtk	項	story		To <em>craft</em> (工) a <em>page</em> (頁) well, we need<strong> paragraph</strong>s.
